type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	sorted_pairs	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
input	output	C00836	C00010	R06517	Metabolite_Metabolite	Sphinganine	CoA		*	*	*		*	C00010_C00836	Metabolic Transformation	Solid				*				
input	output	C02041	C00010	R08175	Metabolite_Metabolite	Eicosanoyl-CoA	CoA		*	*	*		*	C00010_C02041	Metabolic Transformation	Solid				*				
input	output	C04230	C00010	R01318	Metabolite_Metabolite	1-Acyl-sn-glycero-3-phosphocholine	CoA	*	*	*	*	*	*	C00010_C04230	Metabolic Transformation	Solid				*		*		
input	output	C05270	C00010	R04747	Metabolite_Metabolite	Hexanoyl-CoA	CoA	*	*	*	*	*	*	C00010_C05270	Metabolic Transformation	Solid				*				
input	output	C12144	C00010	R06527	Metabolite_Metabolite	Phytosphingosine	CoA	*	*	*	*	*	*	C00010_C12144	Metabolic Transformation	Solid			*	*				
input	output	C00029	C00015	R00292, R01497, R03681, R04491	Metabolite_Metabolite	UDP-glucose	UDP	*		*	*	*		C00015_C00029	Metabolic Transformation	Solid							*	
input	output	C00043	C00015	R00414, R02790, R03514, R04493, R04494, R04575, R04642, R04653, R04654, R04662, R04665, R05327, R07258, R07259, R07334, R09676, R09677, R10596, R11879	Metabolite_Metabolite	UDP-N-acetyl-alpha-D-glucosamine	UDP	*		*	*	*		C00015_C00043	Metabolic Transformation	Solid							*	
input	output	C00075	C00015	R00157, R00159, R00659, R00769, R03238	Metabolite_Metabolite	UTP	UDP	*		*	*	*		C00015_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00085	C00015	R00769	Metabolite_Metabolite	D-Fructose 6-phosphate	UDP	*		*	*	*		C00015_C00085	Metabolic Transformation	Solid	*							
input	output	C00016	C00020	R00160, R07636	Metabolite_Metabolite	FAD	AMP	*		*	*	*		C00016_C00020	Metabolic Transformation	Solid					*			
input	output	C00025	C00020	R05578	Metabolite_Metabolite	L-Glutamate	AMP	*		*	*	*		C00020_C00025	Metabolic Transformation	Solid					*			
input	output	C00049	C00020	R00483, R00578, R01954, R05577	Metabolite_Metabolite	L-Aspartate	AMP	*		*	*	*		C00020_C00049	Metabolic Transformation	Solid	*				*			
input	output	C00062	C00020	R03646	Metabolite_Metabolite	L-Arginine	AMP	*		*	*	*		C00020_C00062	Metabolic Transformation	Solid		*						
input	output	C00064	C00020	R00257, R00578, R01231, R03652, R08244	Metabolite_Metabolite	L-Glutamine	AMP	*		*	*	*		C00020_C00064	Metabolic Transformation	Solid			*	*	*			
input	output	C00078	C00020	R03664	Metabolite_Metabolite	L-Tryptophan	AMP	*		*	*	*		C00020_C00078	Metabolic Transformation	Solid					*			
input	output	C00117	C00020	R01049	Metabolite_Metabolite	D-Ribose 5-phosphate	AMP	*		*	*	*		C00020_C00117	Metabolic Transformation	Solid	*							
input	output	C00350	C00021	R02056	Metabolite_Metabolite	Phosphatidylethanolamine	S-Adenosyl-L-homocysteine	*		*	*	*		C00021_C00350	Metabolic Transformation	Solid					*			
input	output	C00388	C00021	R02155	Metabolite_Metabolite	Histamine	S-Adenosyl-L-homocysteine	*		*	*	*		C00021_C00388	Metabolic Transformation	Solid				*				
input	output	C00097	C00022	R00782	Metabolite_Metabolite	L-Cysteine	Pyruvate	*		*	*	*		C00022_C00097	Metabolic Transformation	Solid			*				*	*
input	output	C00026	C00025	R00258, R00355, R00372, R00667, R00668, R00694, R00734, R00895, R00908, R01090, R01214, R01648, R01939, R01956, R02199, R02433, R02619, R04171, R04188, R05052, R10991, R12688	Metabolite_Metabolite	2-Oxoglutarate	L-Glutamate		*	*	*		*	C00025_C00026	Metabolic Transformation	Solid					*			
input	output	C00037	C00025	R00372	Metabolite_Metabolite	Glycine	L-Glutamate		*	*	*		*	C00025_C00037	Metabolic Transformation	Solid					*			
input	output	C00041	C00025	R00258	Metabolite_Metabolite	L-Alanine	L-Glutamate		*	*	*		*	C00025_C00041	Metabolic Transformation	Solid					*			
input	output	C00049	C00025	R00355, R00578	Metabolite_Metabolite	L-Aspartate	L-Glutamate	*	*	*	*	*	*	C00025_C00049	Metabolic Transformation	Solid	*				*			
input	output	C00051	C00025	R00494	Metabolite_Metabolite	Glutathione	L-Glutamate	*	*	*	*	*	*	C00025_C00051	Metabolic Transformation	Solid			*	*	*			
input	output	C00064	C00025	R00257, R00573, R00578, R00768, R01231, R08244	Metabolite_Metabolite	L-Glutamine	L-Glutamate	*	*	*	*	*	*	C00025_C00064	Metabolic Transformation	Solid			*	*	*			
input	output	C00075	C00025	R00573	Metabolite_Metabolite	UTP	L-Glutamate	*	*	*	*	*	*	C00025_C00075	Metabolic Transformation	Solid	*	*			*	*	*	*
input	output	C00077	C00025	R00667, R00668	Metabolite_Metabolite	L-Ornithine	L-Glutamate		*	*	*		*	C00025_C00077	Metabolic Transformation	Solid					*			
input	output	C00079	C00025	R00694	Metabolite_Metabolite	L-Phenylalanine	L-Glutamate		*	*	*		*	C00025_C00079	Metabolic Transformation	Solid					*			
input	output	C00085	C00025	R00768	Metabolite_Metabolite	D-Fructose 6-phosphate	L-Glutamate	*	*	*	*	*	*	C00025_C00085	Metabolic Transformation	Solid	*				*			
input	output	C00097	C00025	R00895	Metabolite_Metabolite	L-Cysteine	L-Glutamate	*	*	*	*	*	*	C00025_C00097	Metabolic Transformation	Solid			*		*		*	*
input	output	C00099	C00025	R00908	Metabolite_Metabolite	beta-Alanine	L-Glutamate		*	*	*		*	C00025_C00099	Metabolic Transformation	Solid					*			
input	output	C00183	C00025	R01214	Metabolite_Metabolite	L-Valine	L-Glutamate		*	*	*		*	C00025_C00183	Metabolic Transformation	Solid					*			
input	output	C00334	C00025	R01648	Metabolite_Metabolite	4-Aminobutanoate	L-Glutamate	*	*	*	*	*	*	C00025_C00334	Metabolic Transformation	Solid					*			
input	output	C00655	C00025	R01231	Metabolite_Metabolite	Xanthosine 5'-phosphate	L-Glutamate		*	*	*		*	C00025_C00655	Metabolic Transformation	Solid					*			
input	output	C00956	C00025	R01939	Metabolite_Metabolite	L-2-Aminoadipate	L-Glutamate		*	*	*		*	C00025_C00956	Metabolic Transformation	Solid					*			
input	output	C01879	C00025	R00251	Metabolite_Metabolite	5-Oxoproline	L-Glutamate		*	*	*		*	C00025_C01879	Metabolic Transformation	Solid					*			
input	output	C00311	C00026	R00267, R00709	Metabolite_Metabolite	Isocitrate	2-Oxoglutarate	*		*	*	*		C00026_C00311	Metabolic Transformation	Solid		*	*	*			*	*
input	output	C00092	C00031	R00303	Metabolite_Metabolite	D-Glucose 6-phosphate	D-Glucose	*		*	*	*		C00031_C00092	Metabolic Transformation	Solid	*							
input	output	C00010	C00035	R00432, R02405	Metabolite_Metabolite	CoA	GDP	*		*	*	*		C00010_C00035	Metabolic Transformation	Solid				*				
input	output	C00042	C00035	R00432	Metabolite_Metabolite	Succinate	GDP	*		*	*	*		C00035_C00042	Metabolic Transformation	Solid							*	
input	output	C00044	C00035	R00335, R00430, R00431, R00432, R00517, R00968, R02405	Metabolite_Metabolite	GTP	GDP	*		*	*	*		C00035_C00044	Metabolic Transformation	Solid	*	*						
input	output	C00097	C00041	R07460, R11528	Metabolite_Metabolite	L-Cysteine	L-Alanine	*		*	*	*		C00041_C00097	Metabolic Transformation	Solid			*				*	*
input	output	C00026	C00042	R01252, R02397, R03218, R03219, R03376, R03451, R05722, R09510, R09511, R10056, R12459, R12460, R12461, R12645, R13015	Metabolite_Metabolite	2-Oxoglutarate	Succinate		*	*	*		*	C00026_C00042	Metabolic Transformation	Solid							*	
input	output	C00148	C00042	R01252	Metabolite_Metabolite	L-Proline	Succinate		*	*	*		*	C00042_C00148	Metabolic Transformation	Solid							*	
input	output	C01181	C00042	R02397	Metabolite_Metabolite	4-Trimethylammoniobutanoate	Succinate		*	*	*		*	C00042_C01181	Metabolic Transformation	Solid							*	
input	output	C00075	C00043	R00416	Metabolite_Metabolite	UTP	UDP-N-acetyl-alpha-D-glucosamine	*	*	*	*	*	*	C00043_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00002	C00044	R00330	Metabolite_Metabolite	ATP	GTP		*	*	*		*	C00002_C00044	Metabolic Transformation	Solid	*	*						
input	output	C00152	C00049	R00485	Metabolite_Metabolite	L-Asparagine	L-Aspartate		*	*	*		*	C00049_C00152	Metabolic Transformation	Solid	*				*			
input	output	C01042	C00049	R00488	Metabolite_Metabolite	N-Acetyl-L-aspartate	L-Aspartate	*	*	*	*	*	*	C00049_C01042	Metabolic Transformation	Solid	*				*	*		
input	output	C00002	C00051	R00497	Metabolite_Metabolite	ATP	Glutathione		*	*	*		*	C00002_C00051	Metabolic Transformation	Solid			*	*				
input	output	C00019	C00051	R12917, R12918, R12919	Metabolite_Metabolite	S-Adenosyl-L-methionine	Glutathione		*	*	*		*	C00019_C00051	Metabolic Transformation	Solid			*	*				
input	output	C00037	C00051	R00497	Metabolite_Metabolite	Glycine	Glutathione		*	*	*		*	C00037_C00051	Metabolic Transformation	Solid			*	*				
input	output	C00127	C00051	R03915	Metabolite_Metabolite	Glutathione disulfide	Glutathione	*	*	*	*	*	*	C00051_C00127	Metabolic Transformation	Solid			*	*			*	
input	output	C00029	C00052	R00291, R00955	Metabolite_Metabolite	UDP-glucose	UDP-alpha-D-galactose	*		*	*	*		C00029_C00052	Metabolic Transformation	Solid							*	
input	output	C00044	C00055	R00517	Metabolite_Metabolite	GTP	CMP	*		*	*	*		C00044_C00055	Metabolic Transformation	Solid	*	*						
input	output	C00063	C00055	R00515	Metabolite_Metabolite	CTP	CMP	*		*	*	*		C00055_C00063	Metabolic Transformation	Solid	*							
input	output	C00641	C00055	R01321, R02057, R04920, R04922	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	CMP	*		*	*	*		C00055_C00641	Metabolic Transformation	Solid					*		*	*
input	output	C00002	C00063	R00570, R00571, R00573	Metabolite_Metabolite	ATP	CTP		*	*	*		*	C00002_C00063	Metabolic Transformation	Solid	*							
input	output	C00064	C00063	R00573	Metabolite_Metabolite	L-Glutamine	CTP	*	*	*	*	*	*	C00063_C00064	Metabolic Transformation	Solid	*		*	*	*			
input	output	C00075	C00063	R00571, R00573	Metabolite_Metabolite	UTP	CTP	*	*	*	*	*	*	C00063_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00112	C00063	R00570	Metabolite_Metabolite	CDP	CTP		*	*	*		*	C00063_C00112	Metabolic Transformation	Solid	*							
input	output	C00002	C00064	R00253	Metabolite_Metabolite	ATP	L-Glutamine		*	*	*		*	C00002_C00064	Metabolic Transformation	Solid			*	*	*			
input	output	C00025	C00073	R07396	Metabolite_Metabolite	L-Glutamate	L-Methionine	*		*	*	*		C00025_C00073	Metabolic Transformation	Solid					*			
input	output	C00044	C00074	R00430, R00431	Metabolite_Metabolite	GTP	Phosphoenolpyruvate	*		*	*	*		C00044_C00074	Metabolic Transformation	Solid	*	*						
input	output	C00063	C00074	R00572	Metabolite_Metabolite	CTP	Phosphoenolpyruvate	*		*	*	*		C00063_C00074	Metabolic Transformation	Solid	*							
input	output	C00075	C00074	R00659	Metabolite_Metabolite	UTP	Phosphoenolpyruvate	*		*	*	*		C00074_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00002	C00075	R00156	Metabolite_Metabolite	ATP	UTP		*	*	*		*	C00002_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00062	C00077	R00551, R00565, R01686, R01989	Metabolite_Metabolite	L-Arginine	L-Ornithine	*		*	*	*		C00062_C00077	Metabolic Transformation	Solid		*						
input	output	C00334	C00077	R01989	Metabolite_Metabolite	4-Aminobutanoate	L-Ornithine	*		*	*	*		C00077_C00334	Metabolic Transformation	Solid					*			
input	output	C00064	C00079	R01375	Metabolite_Metabolite	L-Glutamine	L-Phenylalanine	*		*	*	*		C00064_C00079	Metabolic Transformation	Solid			*	*	*			
input	output	C00002	C00085	R00760	Metabolite_Metabolite	ATP	D-Fructose 6-phosphate		*	*	*		*	C00002_C00085	Metabolic Transformation	Solid	*							
input	output	C00092	C00085	R00771	Metabolite_Metabolite	D-Glucose 6-phosphate	D-Fructose 6-phosphate	*	*	*	*	*	*	C00085_C00092	Metabolic Transformation	Solid	*							
input	output	C00118	C00085	R08575	Metabolite_Metabolite	D-Glyceraldehyde 3-phosphate	D-Fructose 6-phosphate		*	*	*		*	C00085_C00118	Metabolic Transformation	Solid	*							
input	output	C00131	C00085	R01140	Metabolite_Metabolite	dATP	D-Fructose 6-phosphate		*	*	*		*	C00085_C00131	Metabolic Transformation	Solid	*							
input	output	C00354	C00085	R00762	Metabolite_Metabolite	D-Fructose 1,6-bisphosphate	D-Fructose 6-phosphate		*	*	*		*	C00085_C00354	Metabolic Transformation	Solid	*							
input	output	C05382	C00085	R08575	Metabolite_Metabolite	Sedoheptulose 7-phosphate	D-Fructose 6-phosphate	*	*	*	*	*	*	C00085_C05382	Metabolic Transformation	Solid	*							
input	output	C00002	C00092	R00299	Metabolite_Metabolite	ATP	D-Glucose 6-phosphate		*	*	*		*	C00002_C00092	Metabolic Transformation	Solid	*							
input	output	C00131	C00092	R01139	Metabolite_Metabolite	dATP	D-Glucose 6-phosphate		*	*	*		*	C00092_C00131	Metabolic Transformation	Solid	*							
input	output	C00670	C00093	R01030	Metabolite_Metabolite	sn-Glycero-3-phosphocholine	sn-Glycerol 3-phosphate	*		*	*	*		C00093_C00670	Metabolic Transformation	Solid					*			
input	output	C00065	C00097	R00891	Metabolite_Metabolite	L-Serine	L-Cysteine		*	*	*		*	C00065_C00097	Metabolic Transformation	Solid			*				*	*
input	output	C00049	C00099	R00489	Metabolite_Metabolite	L-Aspartate	beta-Alanine	*		*	*	*		C00049_C00099	Metabolic Transformation	Solid	*				*			
input	output	C03065	C00099	R00913	Metabolite_Metabolite	3-Guanidinopropanoate	beta-Alanine	*		*	*	*		C00099_C03065	Metabolic Transformation	Solid		*						
input	output	C00029	C00105	R00287	Metabolite_Metabolite	UDP-glucose	UMP	*		*	*	*		C00029_C00105	Metabolic Transformation	Solid							*	
input	output	C00044	C00105	R00968	Metabolite_Metabolite	GTP	UMP	*		*	*	*		C00044_C00105	Metabolic Transformation	Solid	*	*						
input	output	C00075	C00105	R00662	Metabolite_Metabolite	UTP	UMP	*		*	*	*		C00075_C00105	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00002	C00111	R01011	Metabolite_Metabolite	ATP	Glycerone phosphate		*	*	*		*	C00002_C00111	Metabolic Transformation	Solid	*							
input	output	C00016	C00111	R00848	Metabolite_Metabolite	FAD	Glycerone phosphate	*	*	*	*	*	*	C00016_C00111	Metabolic Transformation	Solid	*				*			
input	output	C00093	C00111	R00842, R00848, R00849, R08657	Metabolite_Metabolite	sn-Glycerol 3-phosphate	Glycerone phosphate		*	*	*		*	C00093_C00111	Metabolic Transformation	Solid	*							
input	output	C00118	C00111	R01015	Metabolite_Metabolite	D-Glyceraldehyde 3-phosphate	Glycerone phosphate		*	*	*		*	C00111_C00118	Metabolic Transformation	Solid	*							
input	output	C00354	C00111	R01068	Metabolite_Metabolite	D-Fructose 1,6-bisphosphate	Glycerone phosphate		*	*	*		*	C00111_C00354	Metabolic Transformation	Solid	*							
input	output	C00085	C00112	R00767	Metabolite_Metabolite	D-Fructose 6-phosphate	CDP	*		*	*	*		C00085_C00112	Metabolic Transformation	Solid	*							
input	output	C00157	C00114	R01310	Metabolite_Metabolite	Phosphatidylcholine	Choline	*	*	*	*	*	*	C00114_C00157	Metabolic Transformation	Solid	*	*			*			
input	output	C00670	C00114	R01030	Metabolite_Metabolite	sn-Glycero-3-phosphocholine	Choline	*	*	*	*	*	*	C00114_C00670	Metabolic Transformation	Solid	*	*			*			
input	output	C01996	C00114	R01026	Metabolite_Metabolite	Acetylcholine	Choline	*	*	*	*	*	*	C00114_C01996	Metabolic Transformation	Solid	*	*			*			*
input	output	C00118	C00117	R01641	Metabolite_Metabolite	D-Glyceraldehyde 3-phosphate	D-Ribose 5-phosphate		*	*	*		*	C00117_C00118	Metabolic Transformation	Solid	*							
input	output	C00301	C00117	R01054	Metabolite_Metabolite	ADP-ribose	D-Ribose 5-phosphate		*	*	*		*	C00117_C00301	Metabolic Transformation	Solid	*							
input	output	C05382	C00117	R01641, R06863	Metabolite_Metabolite	Sedoheptulose 7-phosphate	D-Ribose 5-phosphate	*	*	*	*	*	*	C00117_C05382	Metabolic Transformation	Solid	*							
input	output	C00025	C00119	R01072	Metabolite_Metabolite	L-Glutamate	5-Phospho-alpha-D-ribose 1-diphosphate	*		*	*	*		C00025_C00119	Metabolic Transformation	Solid					*			
input	output	C00117	C00119	R01049	Metabolite_Metabolite	D-Ribose 5-phosphate	5-Phospho-alpha-D-ribose 1-diphosphate	*		*	*	*		C00117_C00119	Metabolic Transformation	Solid	*							
input	output	C00144	C00119	R01229	Metabolite_Metabolite	GMP	5-Phospho-alpha-D-ribose 1-diphosphate	*		*	*	*		C00119_C00144	Metabolic Transformation	Solid	*	*					*	
input	output	C00042	C00122	R02164, R13223	Metabolite_Metabolite	Succinate	Fumarate	*		*	*	*		C00042_C00122	Metabolic Transformation	Solid							*	
input	output	C02686	C00124	R03617	Metabolite_Metabolite	Galactosylceramide	D-Galactose	*	*	*	*	*	*	C00124_C02686	Metabolic Transformation	Solid	*						*	
input	output	C00002	C00144	R01230, R01231	Metabolite_Metabolite	ATP	GMP		*	*	*		*	C00002_C00144	Metabolic Transformation	Solid	*	*					*	
input	output	C00035	C00144	R00328	Metabolite_Metabolite	GDP	GMP		*	*	*		*	C00035_C00144	Metabolic Transformation	Solid	*	*					*	
input	output	C00044	C00144	R00426, R10823	Metabolite_Metabolite	GTP	GMP	*	*	*	*	*	*	C00044_C00144	Metabolic Transformation	Solid	*	*					*	
input	output	C00064	C00144	R01231	Metabolite_Metabolite	L-Glutamine	GMP	*	*	*	*	*	*	C00064_C00144	Metabolic Transformation	Solid	*	*	*	*	*		*	
input	output	C00130	C00144	R01134	Metabolite_Metabolite	IMP	GMP		*	*	*		*	C00130_C00144	Metabolic Transformation	Solid	*	*					*	
input	output	C00655	C00144	R01230, R01231	Metabolite_Metabolite	Xanthosine 5'-phosphate	GMP		*	*	*		*	C00144_C00655	Metabolic Transformation	Solid	*	*					*	
input	output	C00064	C00152	R00578	Metabolite_Metabolite	L-Glutamine	L-Asparagine	*		*	*	*		C00064_C00152	Metabolic Transformation	Solid			*	*	*			
input	output	C00455	C00153	R01271	Metabolite_Metabolite	Nicotinamide D-ribonucleotide	Nicotinamide		*	*	*		*	C00153_C00455	Metabolic Transformation	Solid						*	*	
input	output	C00019	C00157	R01320	Metabolite_Metabolite	S-Adenosyl-L-methionine	Phosphatidylcholine		*	*	*		*	C00019_C00157	Metabolic Transformation	Solid	*				*			
input	output	C00641	C00157	R01321	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	Phosphatidylcholine	*	*	*	*	*	*	C00157_C00641	Metabolic Transformation	Solid	*				*		*	*
input	output	C04230	C00157	R01318	Metabolite_Metabolite	1-Acyl-sn-glycero-3-phosphocholine	Phosphatidylcholine	*	*	*	*	*	*	C00157_C04230	Metabolic Transformation	Solid	*				*	*		
input	output	C00029	C00167	R00286	Metabolite_Metabolite	UDP-glucose	UDP-glucuronate	*		*	*	*		C00029_C00167	Metabolic Transformation	Solid							*	
input	output	C02530	C00187	R01462	Metabolite_Metabolite	Cholesterol ester	Cholesterol	*		*	*	*		C00187_C02530	Metabolic Transformation	Solid					*			
input	output	C00350	C00189	R02051, R07376	Metabolite_Metabolite	Phosphatidylethanolamine	Ethanolamine	*		*	*	*		C00189_C00350	Metabolic Transformation	Solid					*			
input	output	C00144	C00242	R01229	Metabolite_Metabolite	GMP	Guanine	*	*	*	*	*	*	C00144_C00242	Metabolic Transformation	Solid	*	*					*	
input	output	C00387	C00242	R02147	Metabolite_Metabolite	Guanosine	Guanine	*	*	*	*	*	*	C00242_C00387	Metabolic Transformation	Solid	*					*		
input	output	C00085	C00279	R01067	Metabolite_Metabolite	D-Fructose 6-phosphate	D-Erythrose 4-phosphate	*		*	*	*		C00085_C00279	Metabolic Transformation	Solid	*							
input	output	C05382	C00279	R01827, R08575	Metabolite_Metabolite	Sedoheptulose 7-phosphate	D-Erythrose 4-phosphate	*		*	*	*		C00279_C05382	Metabolic Transformation	Solid	*							
input	output	C00158	C00311	R01324	Metabolite_Metabolite	Citrate	Isocitrate		*	*	*		*	C00158_C00311	Metabolic Transformation	Solid		*	*	*			*	*
input	output	C00062	C00327	R00557	Metabolite_Metabolite	L-Arginine	L-Citrulline	*		*	*	*		C00062_C00327	Metabolic Transformation	Solid		*						
input	output	C01035	C00334	R01990	Metabolite_Metabolite	4-Guanidinobutanoate	4-Aminobutanoate		*	*	*		*	C00334_C01035	Metabolic Transformation	Solid					*			
input	output	C00641	C00350	R02057	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	Phosphatidylethanolamine	*	*	*	*	*	*	C00350_C00641	Metabolic Transformation	Solid					*		*	*
input	output	C02737	C00350	R02055	Metabolite_Metabolite	Phosphatidylserine	Phosphatidylethanolamine	*	*	*	*	*	*	C00350_C02737	Metabolic Transformation	Solid			*		*			*
input	output	C00063	C00354	R00767	Metabolite_Metabolite	CTP	D-Fructose 1,6-bisphosphate	*		*	*	*		C00063_C00354	Metabolic Transformation	Solid	*							
input	output	C00075	C00354	R00769	Metabolite_Metabolite	UTP	D-Fructose 1,6-bisphosphate	*		*	*	*		C00075_C00354	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00385	C00366	R02103, R02107	Metabolite_Metabolite	Xanthine	Urate		*	*	*		*	C00366_C00385	Metabolic Transformation	Solid					*			
input	output	C00242	C00385	R01676	Metabolite_Metabolite	Guanine	Xanthine	*		*	*	*		C00242_C00385	Metabolic Transformation	Solid	*							
input	output	C00144	C00387	R01227	Metabolite_Metabolite	GMP	Guanosine	*	*	*	*	*	*	C00144_C00387	Metabolic Transformation	Solid	*	*				*	*	
input	output	C00135	C00388	R01167	Metabolite_Metabolite	L-Histidine	Histamine	*	*	*	*	*	*	C00135_C00388	Metabolic Transformation	Solid			*	*			*	
input	output	C00157	C00416	R01310	Metabolite_Metabolite	Phosphatidylcholine	Phosphatidate	*		*	*	*		C00157_C00416	Metabolic Transformation	Solid	*				*			
input	output	C00350	C00416	R02051	Metabolite_Metabolite	Phosphatidylethanolamine	Phosphatidate	*		*	*	*		C00350_C00416	Metabolic Transformation	Solid					*			
input	output	C00641	C00416	R02240	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	Phosphatidate	*		*	*	*		C00416_C00641	Metabolic Transformation	Solid					*		*	*
input	output	C00158	C00417	R01325	Metabolite_Metabolite	Citrate	cis-Aconitate		*	*	*		*	C00158_C00417	Metabolic Transformation	Solid			*	*			*	
input	output	C00311	C00417	R01900	Metabolite_Metabolite	Isocitrate	cis-Aconitate	*	*	*	*	*	*	C00311_C00417	Metabolic Transformation	Solid		*	*	*			*	*
input	output	C00641	C00422	R02694	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	Triacylglycerol	*	*	*	*	*	*	C00422_C00641	Metabolic Transformation	Solid					*	*	*	*
input	output	C00157	C00550	R08969	Metabolite_Metabolite	Phosphatidylcholine	Sphingomyelin	*	*	*	*	*	*	C00157_C00550	Metabolic Transformation	Solid	*				*		*	*
input	output	C00114	C00588	R01021	Metabolite_Metabolite	Choline	Choline phosphate	*		*	*	*		C00114_C00588	Metabolic Transformation	Solid	*	*			*			
input	output	C00550	C00588	R02541	Metabolite_Metabolite	Sphingomyelin	Choline phosphate	*		*	*	*		C00550_C00588	Metabolic Transformation	Solid					*		*	*
input	output	C00670	C00588	R02591	Metabolite_Metabolite	sn-Glycero-3-phosphocholine	Choline phosphate	*		*	*	*		C00588_C00670	Metabolic Transformation	Solid					*			
input	output	C01194	C00641	R03332	Metabolite_Metabolite	1-Phosphatidyl-D-myo-inositol	1,2-Diacyl-sn-glycerol	*	*	*	*	*	*	C00641_C01194	Metabolic Transformation	Solid					*		*	*
input	output	C00157	C00670	R01309	Metabolite_Metabolite	Phosphatidylcholine	sn-Glycero-3-phosphocholine	*	*	*	*	*	*	C00157_C00670	Metabolic Transformation	Solid	*				*			
input	output	C04230	C00670	R02746, R07291	Metabolite_Metabolite	1-Acyl-sn-glycero-3-phosphocholine	sn-Glycero-3-phosphocholine	*	*	*	*	*	*	C00670_C04230	Metabolic Transformation	Solid					*	*		
input	output	C00062	C01035	R01989	Metabolite_Metabolite	L-Arginine	4-Guanidinobutanoate	*		*	*	*		C00062_C01035	Metabolic Transformation	Solid		*						
input	output	C00024	C01042	R00487	Metabolite_Metabolite	Acetyl-CoA	N-Acetyl-L-aspartate		*	*	*		*	C00024_C01042	Metabolic Transformation	Solid						*		
input	output	C00005	C01104	R05623	Metabolite_Metabolite	NADPH	Trimethylamine N-oxide		*	*	*		*	C00005_C01104	Metabolic Transformation	Solid			*	*				
input	output	C00026	C01157	R01252	Metabolite_Metabolite	2-Oxoglutarate	Hydroxyproline		*	*	*		*	C00026_C01157	Metabolic Transformation	Solid							*	*
input	output	C00148	C01157	R01252	Metabolite_Metabolite	L-Proline	Hydroxyproline		*	*	*		*	C00148_C01157	Metabolic Transformation	Solid							*	*
input	output	C00051	C01879	R11861	Metabolite_Metabolite	Glutathione	5-Oxoproline	*		*	*	*		C00051_C01879	Metabolic Transformation	Solid			*	*				
input	output	C00024	C01996	R01023	Metabolite_Metabolite	Acetyl-CoA	Acetylcholine		*	*	*		*	C00024_C01996	Metabolic Transformation	Solid								*
input	output	C00020	C02528	R08743	Metabolite_Metabolite	AMP	Chenodeoxycholate		*	*	*		*	C00020_C02528	Metabolic Transformation	Solid					*	*		
input	output	C00052	C02686	R01500	Metabolite_Metabolite	UDP-alpha-D-galactose	Galactosylceramide		*	*	*		*	C00052_C02686	Metabolic Transformation	Solid	*							
input	output	C00065	C02737	R07376	Metabolite_Metabolite	L-Serine	Phosphatidylserine		*	*	*		*	C00065_C02737	Metabolic Transformation	Solid			*					*
input	output	C00010	C04438	R04480	Metabolite_Metabolite	CoA	1-Acyl-sn-glycero-3-phosphoethanolamine	*	*	*	*	*	*	C00010_C04438	Metabolic Transformation	Solid				*	*			
input	output	C00350	C04438	R02053, R04480	Metabolite_Metabolite	Phosphatidylethanolamine	1-Acyl-sn-glycero-3-phosphoethanolamine	*	*	*	*	*	*	C00350_C04438	Metabolic Transformation	Solid					*			
input	output	C00005	C05270	R06985	Metabolite_Metabolite	NADPH	Hexanoyl-CoA		*	*	*		*	C00005_C05270	Metabolic Transformation	Solid				*				
input	output	C02918	C05842	R08408	Metabolite_Metabolite	1-Methylnicotinamide	N1-Methyl-2-pyridone-5-carboxamide	*		*	*	*		C02918_C05842	Metabolic Transformation	Solid	*	*						
input	output	C00836	C12144	R06525	Metabolite_Metabolite	Sphinganine	Phytosphingosine		*	*	*		*	C00836_C12144	Metabolic Transformation	Solid			*					
input	catalyst	C00065	Cbs	R00891, R01289, R01290, R04942	Metabolite_GeneProduct	L-Serine	Cbs		*	*	*		*	C00065_Cbs	Enzyme	Solid					*			
output	catalyst	C00097	Cbs	R00891	Metabolite_GeneProduct	L-Cysteine	Cbs	*	*	*	*	*	*	C00097_Cbs	Enzyme	Solid			*		*		*	*
input	catalyst	C00063	Cds1	R01799	Metabolite_GeneProduct	CTP	Cds1	*	*	*	*	*	*	C00063_Cds1	Enzyme	Solid	*		*					
input	catalyst	C00416	Cds1	R01799	Metabolite_GeneProduct	Phosphatidate	Cds1		*	*	*		*	C00416_Cds1	Enzyme	Solid			*					
