metabolite_accession	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	GeneName
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00008	5'(3')-deoxyribonucleotidase, mitochondrial	Q9NPB1	Unknown	Nt5m
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00084	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	Unknown	Entpd1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00085	Soluble calcium-activated nucleotidase 1	Q8WVQ1	Unknown	Cant1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00086	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	Unknown	Entpd3
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00105	Uridine-cytidine kinase 1	Q9HA47	Unknown	Uck1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00119	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	P22413	Unknown	Enpp1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00194	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	Unknown	Enpp3
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00377	Beta-1,4-galactosyltransferase 1	P15291	Unknown	B4galt1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00431	Inosine triphosphate pyrophosphatase	Q9BY32	Unknown	Itpa
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00621	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	P50583	Unknown	Nudt2
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00877	Ectonucleoside triphosphate diphosphohydrolase 4	Q9Y227	Unknown	Entpd4
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00878	Ectonucleoside triphosphate diphosphohydrolase 6	O75354	Unknown	Entpd6
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP01045	Uridine 5'-monophosphate synthase	P11172	Enzyme	Umps
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP01096	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	Q9H3H5	Enzyme	Dpagt1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP01097	Uridine diphosphate glucose pyrophosphatase	O95848	Unknown	Nudt14
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP02576	Uridine-cytidine kinase 2	Q9BZX2	Unknown	Uck2
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP03208	ENTPD4 protein	Q8NE73	Enzyme	Entpd4
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP07409	UMP-CMP kinase 2, mitochondrial	Q5EBM0	Enzyme	Cmpk2
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP07670	Ectonucleoside triphosphate diphosphohydrolase 8	Q5MY95	Unknown	Entpd8
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP08843	Interferon-stimulated gene 20 kDa protein	Q96AZ6	Unknown	Isg20
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP09389	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	Q3T906	Enzyme	Gnptab
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP10684	Uracil phosphoribosyltransferase homolog	Q96BW1	Enzyme	Uprt
HMDB0000289	Uric acid	C5H4N4O3	HMDBP00181	Xanthine dehydrogenase/oxidase	P47989	Unknown	Xdh
HMDB0000289	Uric acid	C5H4N4O3	HMDBP00370	Glycogen phosphorylase, liver form	P06737	Enzyme	Pygl
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00940	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	Q9BRB3	Enzyme	Pigq
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00941	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A	P37287	Enzyme	Piga
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00942	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H	Q14442	Enzyme	Pigh
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00943	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	P57054	Enzyme	Pigp
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00944	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	Q92535	Enzyme	Pigc
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01079	UDP-N-acetylhexosamine pyrophosphorylase	Q16222	Enzyme	Uap1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01096	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	Q9H3H5	Enzyme	Dpagt1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01609	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Q10469	Enzyme	Mgat2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01699	Exostosin-1	Q16394	Enzyme	Ext1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01700	Hyaluronan synthase 1	Q92839	Unknown	Has1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01701	Exostosin-like 3	O43909	Enzyme	Extl3
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01702	Exostosin-2	Q93063	Enzyme	Ext2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01703	Exostosin-like 1	Q92935	Enzyme	Extl1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01705	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	Q09328	Enzyme	Mgat5
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01707	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	O15294	Enzyme	Ogt
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01708	Hyaluronan synthase 3	O00219	Unknown	Has3
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01709	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	Q09327	Enzyme	Mgat3
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01874	Hyaluronan synthase 2	Q92819	Unknown	Has2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP02885	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform B	Q06430	Enzyme	Gcnt2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP06250	Exostosin-like 2	Q9UBQ6	Enzyme	Extl2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP06337	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	Q9UQ53	Enzyme	Mgat4b
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP06380	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	Q9BYG0	Enzyme	B3gnt5
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP08852	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	Q8WZA1	Unknown	Pomgnt1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP09389	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	Q3T906	Enzyme	Gnptab
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11564	UDP-N-acetylglucosamine transferase subunit ALG13 homolog	Q9NP73	Enzyme	Alg13l1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11731	EGF domain-specific O-linked N-acetylglucosamine transferase	Q5NDL2	Unknown	Eogt
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11742	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	Q02742	Unknown	Gcnt1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11743	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	O95395	Unknown	Gcnt3
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11744	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	Q9P109	Unknown	Gcnt4
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11751	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A	Q8N0V5	Unknown	Gcnt2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11752	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform C	Q8NFS9	Unknown	Gcnt2
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11826	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	P26572	Unknown	Mgat1
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11827	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	Q9UBM8	Unknown	Mgat4c
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11828	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	Q3V5L5	Unknown	Mgat5b
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11988	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	Q3KQV9	Unknown	Uap1l1
HMDB0000291	Vanillylmandelic acid	C9H10O5	HMDBP00272	Catechol O-methyltransferase	P21964	Unknown	Comt
HMDB0000291	Vanillylmandelic acid	C9H10O5	HMDBP00292	Aldehyde dehydrogenase, dimeric NADP-preferring	P30838	Unknown	Aldh3a1
HMDB0000291	Vanillylmandelic acid	C9H10O5	HMDBP00294	Aldehyde dehydrogenase family 1 member A3	P47895	Unknown	Aldh1a3
HMDB0000291	Vanillylmandelic acid	C9H10O5	HMDBP00541	Aldehyde dehydrogenase family 3 member B2	P48448	Unknown	Aldh3b2
HMDB0000291	Vanillylmandelic acid	C9H10O5	HMDBP00542	Aldehyde dehydrogenase family 3 member B1	P43353	Unknown	Aldh3b1
HMDB0000292	Xanthine	C5H4N4O2	HMDBP00181	Xanthine dehydrogenase/oxidase	P47989	Unknown	Xdh
HMDB0000292	Xanthine	C5H4N4O2	HMDBP00475	Hypoxanthine-guanine phosphoribosyltransferase	P00492	Unknown	Hprt1
HMDB0000292	Xanthine	C5H4N4O2	HMDBP00690	Guanine deaminase	Q9Y2T3	Unknown	Gda
HMDB0000293	Xanthosine 5-triphosphate	C10H15N4O15P3	HMDBP00431	Inosine triphosphate pyrophosphatase	Q9BY32	Unknown	Itpa
HMDB0000293	Xanthosine 5-triphosphate	C10H15N4O15P3	HMDBP00621	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	P50583	Unknown	Nudt2
HMDB0000294	Urea	CH4N2O	HMDBP00298	Arginase-1	P05089	Unknown	Arg1
HMDB0000294	Urea	CH4N2O	HMDBP01035	Arginase-2, mitochondrial	P78540	Unknown	Arg2
HMDB0000294	Urea	CH4N2O	HMDBP02058	Carbonic anhydrase 2	P00918	Unknown	Car2
HMDB0000294	Urea	CH4N2O	HMDBP02169	Catenin beta-1	P35222	Enzyme	Ctnnb1
HMDB0000294	Urea	CH4N2O	HMDBP02521	Urea transporter 2	Q15849	Transporter	Slc14a2
HMDB0000294	Urea	CH4N2O	HMDBP02696	Agmatinase, mitochondrial	Q9BSE5	Unknown	Agmat
HMDB0000294	Urea	CH4N2O	HMDBP02907	Urea transporter 1	Q13336	Transporter	Slc14a1
HMDB0000294	Urea	CH4N2O	HMDBP07715	G-protein coupled receptor family C group 6 member A	Q5T6X5	Unknown	Gprc6a
HMDB0000294	Urea	CH4N2O	HMDBP09152	Probable allantoicase	Q8N6M5	Enzyme	Dcdc2c
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00003	UMP-CMP kinase	P30085	Unknown	Cmpk1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00084	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	Unknown	Entpd1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00085	Soluble calcium-activated nucleotidase 1	Q8WVQ1	Unknown	Cant1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00086	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	Unknown	Entpd3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00105	Uridine-cytidine kinase 1	Q9HA47	Unknown	Uck1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00108	Ribonucleoside-diphosphate reductase large subunit	P23921	Enzyme	Rrm1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00109	Nucleoside diphosphate kinase A	P15531	Unknown	Nme1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00110	Nucleoside diphosphate kinase 7	Q9Y5B8	Unknown	Nme7
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00111	Ribonucleoside-diphosphate reductase subunit M2	P31350	Unknown	Rrm2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00112	Nucleoside diphosphate kinase B	P22392	Unknown	Nme2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00113	Nucleoside diphosphate kinase 3	Q13232	Unknown	Nme3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00114	Nucleoside diphosphate kinase 6	O75414	Unknown	Nme6
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00371	Beta-1,4-galactosyltransferase 2	O60909	Unknown	B4galt2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00372	Alpha-lactalbumin	P00709	Enzyme	Lalba
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00377	Beta-1,4-galactosyltransferase 1	P15291	Unknown	B4galt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00462	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	O60568	Unknown	Plod3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00465	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	Q8TDX6	Enzyme	Csgalnact1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00482	UDP-glucuronosyltransferase 2A1	Q9Y4X1	Enzyme	Ugt2a1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00573	GTP:AMP phosphotransferase, mitochondrial	Q9UIJ7	Enzyme	Ak3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00734	6-phosphofructokinase type C	Q01813	Unknown	Pfkp
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00758	6-phosphofructokinase, liver type	P17858	Unknown	Pfkl
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00762	6-phosphofructokinase, muscle type	P08237	Unknown	Pfkm
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00765	Pyruvate kinase isozymes R/L	P30613	Unknown	Pklr
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00845	Ceramide glucosyltransferase	Q16739	Enzyme	Ugcg
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00873	Beta-1,4 N-acetylgalactosaminyltransferase 1	Q00973	Enzyme	B4galnt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00874	Lactosylceramide 4-alpha-galactosyltransferase	Q9NPC4	Enzyme	A4galt
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00877	Ectonucleoside triphosphate diphosphohydrolase 4	Q9Y227	Unknown	Entpd4
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00878	Ectonucleoside triphosphate diphosphohydrolase 6	O75354	Unknown	Entpd6
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00934	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2	Q9NPZ5	Unknown	B3gat2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00935	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	Q9P2W7	Unknown	B3gat1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00940	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	Q9BRB3	Enzyme	Pigq
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00941	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A	P37287	Enzyme	Piga
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00942	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H	Q14442	Enzyme	Pigh
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00943	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	P57054	Enzyme	Pigp
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00944	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	Q92535	Enzyme	Pigc
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00981	Dolichyl-phosphate beta-glucosyltransferase	Q9Y673	Enzyme	Alg5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00993	Polypeptide N-acetylgalactosaminyltransferase 11	Q8NCW6	Unknown	Galnt11
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00995	Polypeptide N-acetylgalactosaminyltransferase 3	Q14435	Unknown	Galnt3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00999	Polypeptide N-acetylgalactosaminyltransferase 10	Q86SR1	Unknown	Galnt10
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01000	Polypeptide N-acetylgalactosaminyltransferase 13	Q8IUC8	Unknown	Galnt13
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01003	N-acetylgalactosaminyltransferase 7	Q86SF2	Unknown	Galnt7
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01004	Polypeptide N-acetylgalactosaminyltransferase 6	Q8NCL4	Unknown	Galnt6
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01005	Polypeptide N-acetylgalactosaminyltransferase 14	Q96FL9	Unknown	Galnt14
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01006	Polypeptide N-acetylgalactosaminyltransferase 2	Q10471	Unknown	Galnt2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01007	Polypeptide N-acetylgalactosaminyltransferase 12	Q8IXK2	Unknown	Galnt12
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01008	Polypeptide N-acetylgalactosaminyltransferase 1	Q10472	Unknown	Galnt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01009	Polypeptide N-acetylgalactosaminyltransferase 5	Q7Z7M9	Unknown	Galnt5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01032	Beta-1,4-galactosyltransferase 3	O60512	Unknown	B4galt3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01033	Beta-1,4-galactosyltransferase 4	O60513	Unknown	B4galt4
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01054	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	O75752	Unknown	B3galnt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01091	Glycogen [starch] synthase, liver	P54840	Enzyme	Gys2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01093	Glycogenin-1	P46976	Unknown	Gyg1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01094	Glycogen [starch] synthase, muscle	P13807	Enzyme	Gys1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01100	Histo-blood group ABO system transferase	P16442	Unknown	Abo2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01101	2-hydroxyacylsphingosine 1-beta-galactosyltransferase	Q16880	Enzyme	Ugt8
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01102	Beta-1,3-galactosyltransferase 4	O96024	Enzyme	Rps18
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01103	Chondroitin sulfate synthase 3	Q70JA7	Unknown	Chsy3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01104	Chondroitin sulfate synthase 2	Q8IZ52	Unknown	Chpf
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01105	Chondroitin sulfate synthase 1	Q86X52	Unknown	Chsy1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01290	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	Q8TCS8	Enzyme	Pnpt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01609	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Q10469	Enzyme	Mgat2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01699	Exostosin-1	Q16394	Enzyme	Ext1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01700	Hyaluronan synthase 1	Q92839	Unknown	Has1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01701	Exostosin-like 3	O43909	Enzyme	Extl3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01702	Exostosin-2	Q93063	Enzyme	Ext2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01703	Exostosin-like 1	Q92935	Enzyme	Extl1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01705	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	Q09328	Enzyme	Mgat5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01707	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	O15294	Enzyme	Ogt
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01708	Hyaluronan synthase 3	O00219	Unknown	Has3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01709	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	Q09327	Enzyme	Mgat3
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01874	Hyaluronan synthase 2	Q92819	Unknown	Has2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP02576	Uridine-cytidine kinase 2	Q9BZX2	Unknown	Uck2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP02885	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform B	Q06430	Enzyme	Gcnt2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP02959	Beta-1,4-galactosyltransferase 7	Q9UBV7	Unknown	B4galt7
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP02961	Chondroitin sulfate glucuronyltransferase	Q9P2E5	Enzyme	Chpf2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP03011	Polypeptide N-acetylgalactosaminyltransferase 13	Q68VI8	Enzyme	Galnt13
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP03197	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	Q8N6G5	Enzyme	Csgalnact2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP03208	ENTPD4 protein	Q8NE73	Enzyme	Entpd4
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP03281	Beta-1,3-galactosyltransferase 6	Q96L58	Unknown	B3galt6
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP05284	Polypeptide N-acetylgalactosaminyltransferase 9	Q9HCQ5	Unknown	Galnt9
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP06250	Exostosin-like 2	Q9UBQ6	Enzyme	Extl2
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP06337	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	Q9UQ53	Enzyme	Mgat4b
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP06380	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	Q9BYG0	Enzyme	B3gnt5
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP06975	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	Q9NS00	Unknown	C1galt1
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP07258	Beta-1,4-galactosyltransferase 6	Q9UBX8	Unknown	B4galt6
