mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1
HMDB0000300	Uracil	C4H4N2O2	HMDBP00727	Dihydropyrimidine dehydrogenase [NADP(+)]	Q12882	Unknown	Dpyd	*	*	Unknown	Solid	HMDB0000300_Dpyd								
HMDB0000300	Uracil	C4H4N2O2	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1	*	*	Enzyme	Solid	HMDB0000300_Uckl1								
HMDB0000300	Uracil	C4H4N2O2	HMDBP10776	Uracil nucleotide/cysteinyl leukotriene receptor	Q13304	Unknown	Gpr17	*	*	Unknown	Solid	HMDB0000300_Gpr17			*	*		*		
HMDB0000305	Vitamin A	C20H30O	HMDBP00243	Diacylglycerol O-acyltransferase 1	O75907	Enzyme	Dgat1	*	*	Enzyme	Solid	HMDB0000305_Dgat1								
HMDB0000305	Vitamin A	C20H30O	HMDBP00783	Alcohol dehydrogenase class 4 mu/sigma chain	P40394	Unknown	Adh7	*	*	Unknown	Solid	HMDB0000305_Adh7								
HMDB0000305	Vitamin A	C20H30O	HMDBP00785	Alcohol dehydrogenase 6	P28332	Unknown	Adh6	*	*	Unknown	Solid	HMDB0000305_Adh6								
HMDB0000305	Vitamin A	C20H30O	HMDBP01912	Lecithin retinol acyltransferase	O95237	Enzyme	Lrat	*	*	Enzyme	Solid	HMDB0000305_Lrat								
HMDB0000305	Vitamin A	C20H30O	HMDBP02862	17-beta-hydroxysteroid dehydrogenase type 6	O14756	Unknown	Hsd17b6	*	*	Unknown	Solid	HMDB0000305_Hsd17b6								
HMDB0000305	Vitamin A	C20H30O	HMDBP04483	Diacylglycerol O-acyltransferase 2	Q96PD7	Enzyme	Dgat2	*	*	Enzyme	Solid	HMDB0000305_Dgat2								
HMDB0000305	Vitamin A	C20H30O	HMDBP06176	Retinol dehydrogenase 10	Q8IZV5	Enzyme	Rdh10	*	*	Enzyme	Solid	HMDB0000305_Rdh10								
HMDB0000305	Vitamin A	C20H30O	HMDBP08290	All-trans-retinol 13,14-reductase	Q6NUM9	Unknown	Retsat	*	*	Unknown	Solid	HMDB0000305_Retsat								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00463	Glycine amidinotransferase, mitochondrial	P50440	Enzyme	Gatm	*	*	Enzyme	Solid	HMDB0000517_Gatm								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000517_Ass1								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00697	Argininosuccinate lyase	P04424	Enzyme	Asl	*	*	Enzyme	Solid	HMDB0000517_Asl								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00903	NAD-dependent protein deacetylase sirtuin-6	Q8N6T7	Unknown	Sirt6	*	*	Unknown	Solid	HMDB0000517_Sirt6								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00906	Ecto-ADP-ribosyltransferase 3	Q13508	Unknown	Art3	*	*	Unknown	Solid	HMDB0000517_Art3								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00919	Ecto-ADP-ribosyltransferase 4	Q93070	Unknown	Art4	*	*	Unknown	Solid	HMDB0000517_Art4								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00928	Nitric oxide synthase, brain	P29475	Unknown	Nos1	*	*	Unknown	Solid	HMDB0000517_Nos1								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00929	Nitric oxide synthase, endothelial	P29474	Unknown	Nos3	*	*	Unknown	Solid	HMDB0000517_Nos3								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP03090	4F2 cell-surface antigen heavy chain	P08195	Unknown	Slc3a2	*	*	Unknown	Solid	HMDB0000517_Slc3a2								
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000517_Carns1							*	
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP10462	NOS1 mutant	B3VK56	Enzyme	Nos1	*	*	Enzyme	Solid	HMDB0000517_Nos1								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00010	ATP-citrate synthase	P53396	Enzyme	Acly	*	*	Enzyme	Solid	HMDB0000538_Acly								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00037	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000538_Acss2								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00210	Glucokinase	P35557	Enzyme	Gck	*	*	Enzyme	Solid	HMDB0000538_Gck		*			*			
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00220	Diacylglycerol kinase theta	P52824	Unknown	Dgkq	*	*	Unknown	Solid	HMDB0000538_Dgkq								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000538_Aldh7a1								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne	*	*	Enzyme	Solid	HMDB0000538_Gne								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000538_Ass1								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00777	Choline/ethanolamine kinase	Q9Y259	Enzyme	Chkb	*	*	Enzyme	Solid	HMDB0000538_Chkb								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP02597	Serine/threonine-protein kinase B-raf	P15056	Unknown	Braf	*	*	Unknown	Solid	HMDB0000538_Braf								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP03055	Bile acyl-CoA synthetase	Q9Y2P5	Enzyme	Slc27a5	*	*	Enzyme	Solid	HMDB0000538_Slc27a5								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP07406	ACSS2 protein	Q96FY7	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000538_Acss2								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08487	Serine/threonine-protein kinase MRCK gamma	Q6DT37	Unknown	Cdc42bpg	*	*	Unknown	Solid	HMDB0000538_Cdc42bpg								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5	*	*	Unknown	Solid	HMDB0000538_Acsm5								
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000538_Carns1							*	
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00283	Aspartate aminotransferase, cytoplasmic	P17174	Enzyme	Got1	*	*	Enzyme	Solid	HMDB0000574_Got1			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00284	Aspartate aminotransferase, mitochondrial	P00505	Enzyme	Got2	*	*	Enzyme	Solid	HMDB0000574_Got2			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00512	Glutamate--cysteine ligase catalytic subunit	P48506	Enzyme	Gclc	*	*	Enzyme	Solid	HMDB0000574_Gclc			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00513	Glutamate--cysteine ligase regulatory subunit	P48507	Enzyme	Gclm	*	*	Enzyme	Solid	HMDB0000574_Gclm			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00779	Cystathionine beta-synthase	P35520	Unknown	Cbs	*	*	Unknown	Solid	HMDB0000574_Cbs			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP00791	Glutathione synthetase	P48637	Enzyme	Gss	*	*	Enzyme	Solid	HMDB0000574_Gss			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP02392	Large neutral amino acids transporter small subunit 2	Q9UHI5	Transporter	Slc7a8	*	*	Transporter	Solid	HMDB0000574_Slc7a8			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP02513	Cysteine desulfurase, mitochondrial	Q9Y697	Unknown	Nfs1	*	*	Unknown	Solid	HMDB0000574_Nfs1			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP03007	Phosphopantothenate--cysteine ligase	Q9HAB8	Enzyme	Ppcs	*	*	Enzyme	Solid	HMDB0000574_Ppcs			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP03090	4F2 cell-surface antigen heavy chain	P08195	Unknown	Slc3a2	*	*	Unknown	Solid	HMDB0000574_Slc3a2			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000574_Slc16a10			*				*	*
HMDB0000574	L-Cysteine	C3H7NO2S	HMDBP08283	Prenylcysteine oxidase 1	Q9UHG3	Unknown	Pcyox1	*	*	Unknown	Solid	HMDB0000574_Pcyox1			*				*	*
HMDB0000638	Dodecanoic acid	C12H24O2	HMDBP00307	Peroxisomal carnitine O-octanoyltransferase	Q9UKG9	Enzyme	Crot	*	*	Enzyme	Solid	HMDB0000638_Crot								
HMDB0000638	Dodecanoic acid	C12H24O2	HMDBP01719	Ganglioside GM2 activator	P17900	Enzyme	Gm2a	*	*	Enzyme	Solid	HMDB0000638_Gm2a								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00214	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	O94808	Enzyme	Gfpt2	*	*	Enzyme	Solid	HMDB0000641_Gfpt2								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00216	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Q06210	Enzyme	Gfpt1	*	*	Enzyme	Solid	HMDB0000641_Gfpt1								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00331	Amidophosphoribosyltransferase	Q06203	Unknown	Ppat	*	*	Unknown	Solid	HMDB0000641_Ppat								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00583	Asparagine synthetase [glutamine-hydrolyzing]	P08243	Enzyme	Asns	*	*	Enzyme	Solid	HMDB0000641_Asns								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00592	GMP synthase [glutamine-hydrolyzing]	P49915	Unknown	Gmps	*	*	Unknown	Solid	HMDB0000641_Gmps								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00667	Protein-glutamine gamma-glutamyltransferase 2	P21980	Unknown	Tgm2	*	*	Unknown	Solid	HMDB0000641_Tgm2								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00670	Glutamine synthetase	P15104	Enzyme	Glul	*	*	Enzyme	Solid	HMDB0000641_Glul								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00675	Glutaminase liver isoform, mitochondrial	Q9UI32	Enzyme	Gls2	*	*	Enzyme	Solid	HMDB0000641_Gls2								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00676	CTP synthase 1	P17812	Unknown	Ctps1	*	*	Unknown	Solid	HMDB0000641_Ctps1								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00680	Glutaminase kidney isoform, mitochondrial	O94925	Enzyme	Gls	*	*	Enzyme	Solid	HMDB0000641_Gls								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP00853	Phosphoribosylformylglycinamidine synthase	O15067	Enzyme	Pfas	*	*	Enzyme	Solid	HMDB0000641_Pfas								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP02392	Large neutral amino acids transporter small subunit 2	Q9UHI5	Transporter	Slc7a8	*	*	Transporter	Solid	HMDB0000641_Slc7a8								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP03036	Sodium-coupled neutral amino acid transporter 3	Q99624	Transporter	Slc38a3	*	*	Transporter	Solid	HMDB0000641_Slc38a3								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP03241	Glutamine-dependent NAD(+) synthetase	Q6IA69	Unknown	Nadsyn1	*	*	Unknown	Solid	HMDB0000641_Nadsyn1								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP03298	CAD protein	P27708	Unknown	Cad	*	*	Unknown	Solid	HMDB0000641_Cad								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP04074	CTP synthase 2	Q9NRF8	Enzyme	Ctps2	*	*	Enzyme	Solid	HMDB0000641_Ctps2								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000641_Slc16a10								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP10657	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	Q9H0R6	Enzyme	Qrsl1	*	*	Enzyme	Solid	HMDB0000641_Qrsl1								
HMDB0000641	L-Glutamine	C5H10N2O3	HMDBP11741	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	O43716	Unknown	Gatc	*	*	Unknown	Solid	HMDB0000641_Gatc			*		*			*
HMDB0000661	Glutaric acid	C5H8O4	HMDBP09068	Solute carrier family 22 member 7	Q9Y694	Transporter	Slc22a7	*	*	Transporter	Solid	HMDB0000661_Slc22a7								
HMDB0000699	1-Methylnicotinamide	C7H9N2O	HMDBP00126	Aldehyde oxidase	Q06278	Unknown	Aox1	*	*	Unknown	Solid	HMDB0000699_Aox1								
HMDB0000699	1-Methylnicotinamide	C7H9N2O	HMDBP00423	Nicotinamide N-methyltransferase	P40261	Unknown	Nnmt	*	*	Unknown	Solid	HMDB0000699_Nnmt								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP00206	D-amino-acid oxidase	P14920	Unknown	Dao	*	*	Unknown	Solid	HMDB0000725_Dao								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP00302	Prolyl 4-hydroxylase subunit alpha-2	O15460	Enzyme	P4ha2	*	*	Enzyme	Solid	HMDB0000725_P4ha2								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP00304	Prolyl 4-hydroxylase subunit alpha-1	P13674	Enzyme	P4ha1	*	*	Enzyme	Solid	HMDB0000725_P4ha1								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP09111	Prolyl 4-hydroxylase subunit alpha-3	Q7Z4N8	Enzyme	P4ha3	*	*	Enzyme	Solid	HMDB0000725_P4ha3								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP09210	Egl nine homolog 1	Q9GZT9	Enzyme	Egln1	*	*	Enzyme	Solid	HMDB0000725_Egln1								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP09211	Egl nine homolog 2	Q96KS0	Enzyme	Egln2	*	*	Enzyme	Solid	HMDB0000725_Egln2								
HMDB0000725	4-Hydroxyproline	C5H9NO3	HMDBP09212	Egl nine homolog 3	Q9H6Z9	Enzyme	Egln3	*	*	Enzyme	Solid	HMDB0000725_Egln3								
HMDB0000806	Myristic acid	C14H28O2	HMDBP00035	Fatty acid synthase	P49327	Enzyme	Fasn	*	*	Enzyme	Solid	HMDB0000806_Fasn							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00060	Cytosolic phospholipase A2	P47712	Unknown	Pla2g4a	*	*	Unknown	Solid	HMDB0000806_Pla2g4a							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00064	Galactoside-binding soluble lectin 13	Q9UHV8	Enzyme	Lgals9	*	*	Enzyme	Solid	HMDB0000806_Lgals9							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00067	Group XIIA secretory phospholipase A2	Q9BZM1	Unknown	Pla2g12a	*	*	Unknown	Solid	HMDB0000806_Pla2g12a							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00068	85/88 kDa calcium-independent phospholipase A2	O60733	Unknown	Pla2g6	*	*	Unknown	Solid	HMDB0000806_Pla2g6							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00072	Phospholipase A2, membrane associated	P14555	Unknown	Pla2g2a	*	*	Unknown	Solid	HMDB0000806_Pla2g2a							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00073	Group IID secretory phospholipase A2	Q9UNK4	Unknown	Pla2g2d	*	*	Unknown	Solid	HMDB0000806_Pla2g2d							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00226	Hepatic triacylglycerol lipase	P11150	Enzyme	Lipc	*	*	Enzyme	Solid	HMDB0000806_Lipc							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00232	Patatin-like phospholipase domain-containing protein 3	Q9NST1	Enzyme	Pnpla3	*	*	Enzyme	Solid	HMDB0000806_Pnpla3							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00239	Endothelial lipase	Q9Y5X9	Enzyme	Lipg	*	*	Enzyme	Solid	HMDB0000806_Lipg		*					*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00241	Bile salt-activated lipase	P19835	Unknown	Cel	*	*	Unknown	Solid	HMDB0000806_Cel		*	*				*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00310	Lipoprotein lipase	P06858	Enzyme	Lpl	*	*	Enzyme	Solid	HMDB0000806_Lpl							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00525	Cholinesterase	P06276	Enzyme	Bche	*	*	Enzyme	Solid	HMDB0000806_Bche							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00529	Cytosolic phospholipase A2 gamma	Q9UP65	Unknown	Pla2g4c	*	*	Unknown	Solid	HMDB0000806_Pla2g4c	*					*	*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00531	Hormone-sensitive lipase	Q05469	Unknown	Lipe	*	*	Unknown	Solid	HMDB0000806_Lipe							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00554	Aminoacylase-1	Q03154	Unknown	Acy1	*	*	Unknown	Solid	HMDB0000806_Acy1							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00555	Aspartoacylase	P45381	Enzyme	Aspa	*	*	Enzyme	Solid	HMDB0000806_Aspa							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP00558	Aspartoacylase-2	Q96HD9	Enzyme	Acy3	*	*	Enzyme	Solid	HMDB0000806_Acy3							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP01051	Lysosomal thioesterase PPT2	Q9UMR5	Enzyme	Ppt2	*	*	Enzyme	Solid	HMDB0000806_Ppt2							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP01084	Acid ceramidase	Q13510	Enzyme	Asah1	*	*	Enzyme	Solid	HMDB0000806_Asah1							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP02173	Peroxisome proliferator-activated receptor gamma	P37231	Enzyme	Pparg	*	*	Enzyme	Solid	HMDB0000806_Pparg							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP03130	Long-chain fatty acid transport protein 3	Q5K4L6	Enzyme	Slc27a3	*	*	Enzyme	Solid	HMDB0000806_Slc27a3							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP03160	Patatin-like phospholipase domain-containing protein 4	P41247	Enzyme	Pnpla4	*	*	Enzyme	Solid	HMDB0000806_Pnpla4							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP03176	Long-chain fatty acid transport protein 1	Q6PCB7	Transporter	Slc27a1	*	*	Transporter	Solid	HMDB0000806_Slc27a1							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP06873	Long-chain fatty acid transport protein 4	Q6P1M0	Enzyme	Slc27a4	*	*	Enzyme	Solid	HMDB0000806_Slc27a4							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP07300	60 kDa lysophospholipase	Q86U10	Enzyme	Aspg	*	*	Enzyme	Solid	HMDB0000806_Aspg							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP07347	Patatin-like phospholipase domain-containing protein 2	Q96AD5	Enzyme	Pnpla2	*	*	Enzyme	Solid	HMDB0000806_Pnpla2	*	*	*	*		*	*	*
HMDB0000806	Myristic acid	C14H28O2	HMDBP07945	Calcium-independent phospholipase A2-gamma	Q9NP80	Unknown	Pnpla8	*	*	Unknown	Solid	HMDB0000806_Pnpla8							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP09120	Cytosolic phospholipase A2 beta	P0C869	Unknown	Pla2g4b	*	*	Unknown	Solid	HMDB0000806_Pla2g4b							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP09163	Alkaline ceramidase 2	Q5QJU3	Enzyme	Acer2	*	*	Enzyme	Solid	HMDB0000806_Acer2							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP09165	Neutral ceramidase	Q9NR71	Enzyme	Asah2	*	*	Enzyme	Solid	HMDB0000806_Asah2							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP10677	Neuropathy target esterase	Q8IY17	Enzyme	Pnpla6	*	*	Enzyme	Solid	HMDB0000806_Pnpla6							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP11392	CPT1B protein	A2RRE8	Unknown	Cpt1b	*	*	Unknown	Solid	HMDB0000806_Cpt1b							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP11393	Peroxisome proliferator-activated receptor	Q6L9M1	Unknown	Pparg	*	*	Unknown	Solid	HMDB0000806_Pparg							*	
HMDB0000806	Myristic acid	C14H28O2	HMDBP11394	CPT1B protein	A5PLL0	Unknown	Cpt1b	*	*	Unknown	Solid	HMDB0000806_Cpt1b							*	
HMDB0000826	Pentadecanoic acid	C15H30O2	HMDBP00035	Fatty acid synthase	P49327	Enzyme	Fasn	*	*	Enzyme	Solid	HMDB0000826_Fasn								
HMDB0000826	Pentadecanoic acid	C15H30O2	HMDBP00226	Hepatic triacylglycerol lipase	P11150	Enzyme	Lipc	*	*	Enzyme	Solid	HMDB0000826_Lipc								
HMDB0000827	Stearic acid	C18H36O2	HMDBP00035	Fatty acid synthase	P49327	Enzyme	Fasn	*	*	Enzyme	Solid	HMDB0000827_Fasn								
HMDB0000827	Stearic acid	C18H36O2	HMDBP00226	Hepatic triacylglycerol lipase	P11150	Enzyme	Lipc	*	*	Enzyme	Solid	HMDB0000827_Lipc								
HMDB0000827	Stearic acid	C18H36O2	HMDBP01046	Cytosolic acyl coenzyme A thioester hydrolase	O00154	Enzyme	Acot7	*	*	Enzyme	Solid	HMDB0000827_Acot7								
HMDB0000904	Citrulline	C6H13N3O3	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000904_Ass1								
HMDB0000904	Citrulline	C6H13N3O3	HMDBP09114	Argininosuccinate synthase	Q5T6L4	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000904_Ass1								
HMDB0000925	Trimethylamine N-oxide	C3H9NO	HMDBP00143	Dimethylaniline monooxygenase [N-oxide-forming] 5	P49326	Unknown	Fmo5	*	*	Unknown	Solid	HMDB0000925_Fmo5			*	*				
HMDB0000925	Trimethylamine N-oxide	C3H9NO	HMDBP00155	Dimethylaniline monooxygenase [N-oxide-forming] 2	Q99518	Unknown	Fmo2	*	*	Unknown	Solid	HMDB0000925_Fmo2			*	*				
HMDB0000925	Trimethylamine N-oxide	C3H9NO	HMDBP00165	Dimethylaniline monooxygenase [N-oxide-forming] 4	P31512	Unknown	Fmo4	*	*	Unknown	Solid	HMDB0000925_Fmo4			*	*				
HMDB0000925	Trimethylamine N-oxide	C3H9NO	HMDBP00171	Dimethylaniline monooxygenase [N-oxide-forming] 3	P31513	Unknown	Fmo3	*	*	Unknown	Solid	HMDB0000925_Fmo3			*	*				
HMDB0000925	Trimethylamine N-oxide	C3H9NO	HMDBP00185	Dimethylaniline monooxygenase [N-oxide-forming] 1	Q01740	Unknown	Fmo1	*	*	Unknown	Solid	HMDB0000925_Fmo1			*	*				
HMDB0000929	L-Tryptophan	C11H12N2O2	HMDBP00278	Aromatic-L-amino-acid decarboxylase	P20711	Enzyme	Ddc	*	*	Enzyme	Solid	HMDB0000929_Ddc								
HMDB0000929	L-Tryptophan	C11H12N2O2	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000929_Slc16a10								
HMDB0000929	L-Tryptophan	C11H12N2O2	HMDBP05537	Tryptophan 2,3-dioxygenase	P48775	Unknown	Tdo2	*	*	Unknown	Solid	HMDB0000929_Tdo2								
HMDB0000929	L-Tryptophan	C11H12N2O2	HMDBP08281	L-amino-acid oxidase	Q96RQ9	Unknown	Il4i1	*	*	Unknown	Solid	HMDB0000929_Il4i1								
HMDB0001008	Biliverdin	C33H34N4O6	HMDBP00151	Heme oxygenase 2	P30519	Unknown	Hmox2	*	*	Unknown	Solid	HMDB0001008_Hmox2								
HMDB0001008	Biliverdin	C33H34N4O6	HMDBP00198	Heme oxygenase 1	P09601	Unknown	Hmox1	*	*	Unknown	Solid	HMDB0001008_Hmox1								
HMDB0001058	Fructose 1,6-bisphosphate	C6H14O12P2	HMDBP00979	Fructose-bisphosphate aldolase C	P09972	Enzyme	Aldoc	*	*	Enzyme	Solid	HMDB0001058_Aldoc								
HMDB0001058	Fructose 1,6-bisphosphate	C6H14O12P2	HMDBP10660	Fructose-bisphosphate aldolase	A8MVZ9	Enzyme	Aldoc	*	*	Enzyme	Solid	HMDB0001058_Aldoc								
HMDB0001112	Glyceraldehyde 3-phosphate	C3H7O6P	HMDBP00805	Transketolase	P29401	Unknown	Tkt	*	*	Unknown	Solid	HMDB0001112_Tkt								
HMDB0001112	Glyceraldehyde 3-phosphate	C3H7O6P	HMDBP00979	Fructose-bisphosphate aldolase C	P09972	Enzyme	Aldoc	*	*	Enzyme	Solid	HMDB0001112_Aldoc								
HMDB0001185	S-Adenosylmethionine	C15H23N6O5S	HMDBP00423	Nicotinamide N-methyltransferase	P40261	Unknown	Nnmt	*	*	Unknown	Solid	HMDB0001185_Nnmt								
HMDB0001185	S-Adenosylmethionine	C15H23N6O5S	HMDBP00779	Cystathionine beta-synthase	P35520	Unknown	Cbs	*	*	Unknown	Solid	HMDB0001185_Cbs								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5	*	*	Unknown	Solid	HMDB0001201_Entpd5								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP01782	Rab GDP dissociation inhibitor alpha	P31150	Unknown	Gdi1	*	*	Unknown	Solid	HMDB0001201_Gdi1								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP01932	Vinexin	O60504	Enzyme	Sorbs3	*	*	Enzyme	Solid	HMDB0001201_Sorbs3								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP02943	Rap guanine nucleotide exchange factor 4	Q8WZA2	Unknown	Rapgef4	*	*	Unknown	Solid	HMDB0001201_Rapgef4								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP08311	Neuroepithelial cell-transforming gene 1 protein	Q7Z628	Unknown	Net1	*	*	Unknown	Solid	HMDB0001201_Net1								
HMDB0001201	Guanosine diphosphate	C10H15N5O11P2	HMDBP08479	Guanine nucleotide exchange factor DBS	O15068	Unknown	Mcf2l	*	*	Unknown	Solid	HMDB0001201_Mcf2l								
