mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
HMDB0000277	Sphingosine 1-phosphate	C18H38NO5P	HMDBP03084	Phosphatidylinositol-glycan biosynthesis class X protein	Q8TBF5	Enzyme	Pigx	*	*	Enzyme	Solid	HMDB0000277_Pigx									
HMDB0000277	Sphingosine 1-phosphate	C18H38NO5P	HMDBP11446	Lipopolysaccharide-binding protein	P18428	Unknown	Lbp	*	*	Unknown	Solid	HMDB0000277_Lbp									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00084	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	Unknown	Entpd1	*	*	Unknown	Solid	HMDB0000285_Entpd1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00085	Soluble calcium-activated nucleotidase 1	Q8WVQ1	Unknown	Cant1	*	*	Unknown	Solid	HMDB0000285_Cant1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00086	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	Unknown	Entpd3	*		Unknown	Dashed	HMDB0000285_Entpd3									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00105	Uridine-cytidine kinase 1	Q9HA47	Unknown	Uck1	*	*	Unknown	Solid	HMDB0000285_Uck1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00109	Nucleoside diphosphate kinase A	P15531	Unknown	Nme1	*	*	Unknown	Solid	HMDB0000285_Nme1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00110	Nucleoside diphosphate kinase 7	Q9Y5B8	Unknown	Nme7	*	*	Unknown	Solid	HMDB0000285_Nme7									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00112	Nucleoside diphosphate kinase B	P22392	Unknown	Nme2	*	*	Unknown	Solid	HMDB0000285_Nme2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00113	Nucleoside diphosphate kinase 3	Q13232	Unknown	Nme3	*	*	Unknown	Solid	HMDB0000285_Nme3									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00114	Nucleoside diphosphate kinase 6	O75414	Unknown	Nme6	*	*	Unknown	Solid	HMDB0000285_Nme6									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00431	Inosine triphosphate pyrophosphatase	Q9BY32	Unknown	Itpa	*	*	Unknown	Solid	HMDB0000285_Itpa									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00621	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	P50583	Unknown	Nudt2	*	*	Unknown	Solid	HMDB0000285_Nudt2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00676	CTP synthase 1	P17812	Unknown	Ctps1	*	*	Unknown	Solid	HMDB0000285_Ctps1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00734	6-phosphofructokinase type C	Q01813	Unknown	Pfkp	*	*	Unknown	Solid	HMDB0000285_Pfkp									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00736	DNA-directed RNA polymerase III subunit RPC4	P05423	Enzyme	Polr3d	*	*	Enzyme	Solid	HMDB0000285_Polr3d									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00737	DNA-directed RNA polymerase II subunit RPB2	P30876	Unknown	Polr2b	*	*	Unknown	Solid	HMDB0000285_Polr2b									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00739	DNA-directed RNA polymerase II subunit RPB1	P24928	Unknown	Polr2a	*	*	Unknown	Solid	HMDB0000285_Polr2a									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00742	DNA-directed RNA polymerase, mitochondrial	O00411	Enzyme	Polrmt	*	*	Enzyme	Solid	HMDB0000285_Polrmt									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00743	DNA-directed RNA polymerase I subunit RPA2	Q9H9Y6	Enzyme	Polr1b	*	*	Enzyme	Solid	HMDB0000285_Polr1b									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00752	DNA-directed RNA polymerase III subunit RPC2	Q9NW08	Enzyme	Polr3b	*	*	Enzyme	Solid	HMDB0000285_Polr3b									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00756	DNA-directed RNA polymerase I subunit RPA49	Q9GZS1	Enzyme	Polr1e	*	*	Enzyme	Solid	HMDB0000285_Polr1e									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00758	6-phosphofructokinase, liver type	P17858	Unknown	Pfkl	*	*	Unknown	Solid	HMDB0000285_Pfkl									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00760	DNA-directed RNA polymerase III subunit RPC8	Q9Y535	Enzyme	Polr3h	*	*	Enzyme	Solid	HMDB0000285_Polr3h									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00761	DNA-directed RNA polymerase III subunit RPC10	Q9Y2Y1	Unknown	Polr3k	*	*	Unknown	Solid	HMDB0000285_Polr3k									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00762	6-phosphofructokinase, muscle type	P08237	Unknown	Pfkm	*	*	Unknown	Solid	HMDB0000285_Pfkm									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP00765	Pyruvate kinase isozymes R/L	P30613	Unknown	Pklr	*	*	Unknown	Solid	HMDB0000285_Pklr									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP01074	UTP--glucose-1-phosphate uridylyltransferase	Q16851	Enzyme	Ugp2	*	*	Enzyme	Solid	HMDB0000285_Ugp2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP01079	UDP-N-acetylhexosamine pyrophosphorylase	Q16222	Enzyme	Uap1	*	*	Enzyme	Solid	HMDB0000285_Uap1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP02576	Uridine-cytidine kinase 2	Q9BZX2	Unknown	Uck2	*	*	Unknown	Solid	HMDB0000285_Uck2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP03298	CAD protein	P27708	Unknown	Cad	*	*	Unknown	Solid	HMDB0000285_Cad									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP04074	CTP synthase 2	Q9NRF8	Enzyme	Ctps2	*	*	Enzyme	Solid	HMDB0000285_Ctps2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1	*	*	Enzyme	Solid	HMDB0000285_Uckl1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP07670	Ectonucleoside triphosphate diphosphohydrolase 8	Q5MY95	Unknown	Entpd8	*	*	Unknown	Solid	HMDB0000285_Entpd8									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP09344	DNA-directed RNA polymerase III subunit RPC1	O14802	Enzyme	Polr3a	*	*	Enzyme	Solid	HMDB0000285_Polr3a									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP09345	DNA-directed RNA polymerase I subunit RPA1	O95602	Enzyme	Polr1a	*	*	Enzyme	Solid	HMDB0000285_Polr1a									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP09347	DNA-directed RNA polymerases I and III subunit RPAC2	Q9Y2S0	Enzyme	Polr1d	*	*	Enzyme	Solid	HMDB0000285_Polr1d									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP09350	POLR1C protein	Q96HT3	Enzyme	Polr1c	*	*	Enzyme	Solid	HMDB0000285_Polr1c									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11852	Nucleoside diphosphate kinase homolog 5	P56597	Unknown	Nme5	*	*	Unknown	Solid	HMDB0000285_Nme5		*	*					*	*
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11911	DNA-directed RNA polymerases I, II, and III subunit RPABC1	P19388	Unknown	Polr2e	*	*	Unknown	Solid	HMDB0000285_Polr2e									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11912	DNA-directed RNA polymerases I, II, and III subunit RPABC2	P61218	Unknown	Polr2f	*	*	Unknown	Solid	HMDB0000285_Polr2f									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11913	DNA-directed RNA polymerases I, II, and III subunit RPABC3	P52434	Unknown	AABR07030911.1	*		Unknown	Dashed	HMDB0000285_AABR07030911.1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11914	DNA-directed RNA polymerases I, II, and III subunit RPABC4	P53803	Unknown	Polr2k-ps2	*		Unknown	Dashed	HMDB0000285_Polr2k-ps2									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11915	DNA-directed RNA polymerases I, II, and III subunit RPABC5	P62875	Unknown	Polr2l-ps1	*		Unknown	Dashed	HMDB0000285_Polr2l-ps1									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11916	DNA-directed RNA polymerases I and III subunit RPAC1	O15160	Unknown	Polr1c	*	*	Unknown	Solid	HMDB0000285_Polr1c									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11918	DNA-directed RNA polymerase II subunit RPB11-a	P52435	Unknown	Polr2j	*	*	Unknown	Solid	HMDB0000285_Polr2j									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11920	DNA-directed RNA polymerase II subunit RPB3	P19387	Unknown	Polr2c	*	*	Unknown	Solid	HMDB0000285_Polr2c									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11921	DNA-directed RNA polymerase II subunit RPB4	O15514	Unknown	Polr2d	*	*	Unknown	Solid	HMDB0000285_Polr2d									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11922	DNA-directed RNA polymerase II subunit RPB7	P62487	Unknown	Polr2g	*	*	Unknown	Solid	HMDB0000285_Polr2g									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11924	DNA-directed RNA polymerase III subunit RPC3	Q9BUI4	Unknown	Polr3c	*	*	Unknown	Solid	HMDB0000285_Polr3c									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11925	DNA-directed RNA polymerase III subunit RPC5	Q9NVU0	Unknown	Polr3e	*	*	Unknown	Solid	HMDB0000285_Polr3e									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11926	DNA-directed RNA polymerase III subunit RPC6	Q9H1D9	Unknown	Polr3f	*	*	Unknown	Solid	HMDB0000285_Polr3f									
HMDB0000285	Uridine triphosphate	C9H15N2O15P3	HMDBP11988	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	Q3KQV9	Unknown	Uap1l1	*	*	Unknown	Solid	HMDB0000285_Uap1l1									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP00119	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	P22413	Unknown	Enpp1	*	*	Unknown	Solid	HMDB0000286_Enpp1									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP00194	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	Unknown	Enpp3	*	*	Unknown	Solid	HMDB0000286_Enpp3									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP00462	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	O60568	Unknown	Plod3	*	*	Unknown	Solid	HMDB0000286_Plod3									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP00845	Ceramide glucosyltransferase	Q16739	Enzyme	Ugcg	*	*	Enzyme	Solid	HMDB0000286_Ugcg									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP00907	UDP-glucose 6-dehydrogenase	O60701	Unknown	Ugdh	*	*	Unknown	Solid	HMDB0000286_Ugdh									
HMDB0000286	Uridine diphosphate glucose	C15H24N2O17P2	HMDBP01074	UTP--glucose-1-phosphate uridylyltransferase	Q16851	Enzyme	Ugp2	*	*	Enzyme	Solid	HMDB0000286_Ugp2									
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00194	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	Unknown	Enpp3	*	*	Unknown	Solid	HMDB0000288_Enpp3									
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5	*	*	Unknown	Solid	HMDB0000288_Entpd5									
HMDB0000288	Uridine 5'-monophosphate	C9H13N2O9P	HMDBP09389	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	Q3T906	Enzyme	Gnptab	*	*	Enzyme	Solid	HMDB0000288_Gnptab									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne	*	*	Enzyme	Solid	HMDB0000290_Gne									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00940	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	Q9BRB3	Enzyme	Pigq	*	*	Enzyme	Solid	HMDB0000290_Pigq									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00941	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A	P37287	Enzyme	Piga	*	*	Enzyme	Solid	HMDB0000290_Piga									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00942	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H	Q14442	Enzyme	Pigh	*	*	Enzyme	Solid	HMDB0000290_Pigh									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00943	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	P57054	Enzyme	Pigp	*	*	Enzyme	Solid	HMDB0000290_Pigp									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP00944	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	Q92535	Enzyme	Pigc	*	*	Enzyme	Solid	HMDB0000290_Pigc									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01079	UDP-N-acetylhexosamine pyrophosphorylase	Q16222	Enzyme	Uap1	*	*	Enzyme	Solid	HMDB0000290_Uap1									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP01703	Exostosin-like 1	Q92935	Enzyme	Extl1	*	*	Enzyme	Solid	HMDB0000290_Extl1									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP02885	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform B	Q06430	Enzyme	Gcnt2	*	*	Enzyme	Solid	HMDB0000290_Gcnt2									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP06337	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	Q9UQ53	Enzyme	Mgat4b	*	*	Enzyme	Solid	HMDB0000290_Mgat4b									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP06380	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	Q9BYG0	Enzyme	B3gnt5	*		Enzyme	Dashed	HMDB0000290_B3gnt5									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP09389	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	Q3T906	Enzyme	Gnptab	*	*	Enzyme	Solid	HMDB0000290_Gnptab									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11751	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A	Q8N0V5	Unknown	Gcnt2	*	*	Unknown	Solid	HMDB0000290_Gcnt2									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11752	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform C	Q8NFS9	Unknown	Gcnt2	*	*	Unknown	Solid	HMDB0000290_Gcnt2									
HMDB0000290	Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	HMDBP11988	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	Q3KQV9	Unknown	Uap1l1	*	*	Unknown	Solid	HMDB0000290_Uap1l1									
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne	*	*	Enzyme	Solid	HMDB0000295_Gne									
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5	*	*	Unknown	Solid	HMDB0000295_Entpd5									
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP01703	Exostosin-like 1	Q92935	Enzyme	Extl1	*	*	Enzyme	Solid	HMDB0000295_Extl1									
HMDB0000295	Uridine 5'-diphosphate	C9H14N2O12P2	HMDBP06337	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	Q9UQ53	Enzyme	Mgat4b	*	*	Enzyme	Solid	HMDB0000295_Mgat4b									
HMDB0000300	Uracil	C4H4N2O2	HMDBP00727	Dihydropyrimidine dehydrogenase [NADP(+)]	Q12882	Unknown	Dpyd	*	*	Unknown	Solid	HMDB0000300_Dpyd									
HMDB0000300	Uracil	C4H4N2O2	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1	*	*	Enzyme	Solid	HMDB0000300_Uckl1									
HMDB0000300	Uracil	C4H4N2O2	HMDBP10776	Uracil nucleotide/cysteinyl leukotriene receptor	Q13304	Unknown	Gpr17	*	*	Unknown	Solid	HMDB0000300_Gpr17			*	*		*			*
HMDB0000305	Vitamin A	C20H30O	HMDBP00243	Diacylglycerol O-acyltransferase 1	O75907	Enzyme	Dgat1	*	*	Enzyme	Solid	HMDB0000305_Dgat1									
HMDB0000305	Vitamin A	C20H30O	HMDBP00780	Alcohol dehydrogenase class-3	P11766	Unknown	Adh5	*		Unknown	Dashed	HMDB0000305_Adh5									
HMDB0000305	Vitamin A	C20H30O	HMDBP00782	Alcohol dehydrogenase 1B	P00325	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000305_Adh1c									
HMDB0000305	Vitamin A	C20H30O	HMDBP00783	Alcohol dehydrogenase class 4 mu/sigma chain	P40394	Unknown	Adh7	*	*	Unknown	Solid	HMDB0000305_Adh7									
HMDB0000305	Vitamin A	C20H30O	HMDBP00784	Alcohol dehydrogenase 1A	P07327	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000305_Adh1c									
HMDB0000305	Vitamin A	C20H30O	HMDBP00785	Alcohol dehydrogenase 6	P28332	Unknown	Adh6	*	*	Unknown	Solid	HMDB0000305_Adh6									
HMDB0000305	Vitamin A	C20H30O	HMDBP00786	Alcohol dehydrogenase 1C	P00326	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000305_Adh1c									
HMDB0000305	Vitamin A	C20H30O	HMDBP01912	Lecithin retinol acyltransferase	O95237	Enzyme	Lrat	*	*	Enzyme	Solid	HMDB0000305_Lrat									
HMDB0000305	Vitamin A	C20H30O	HMDBP02862	17-beta-hydroxysteroid dehydrogenase type 6	O14756	Unknown	Hsd17b6	*	*	Unknown	Solid	HMDB0000305_Hsd17b6									
HMDB0000305	Vitamin A	C20H30O	HMDBP04483	Diacylglycerol O-acyltransferase 2	Q96PD7	Enzyme	Dgat2	*	*	Enzyme	Solid	HMDB0000305_Dgat2									
HMDB0000305	Vitamin A	C20H30O	HMDBP06176	Retinol dehydrogenase 10	Q8IZV5	Enzyme	Rdh10	*	*	Enzyme	Solid	HMDB0000305_Rdh10									
HMDB0000305	Vitamin A	C20H30O	HMDBP07278	Acyl-CoA wax alcohol acyltransferase 1	Q58HT5	Enzyme	Awat1	*		Enzyme	Dashed	HMDB0000305_Awat1									
HMDB0000305	Vitamin A	C20H30O	HMDBP07279	Acyl-CoA wax alcohol acyltransferase 2	Q6E213	Enzyme	Awat2	*		Enzyme	Dashed	HMDB0000305_Awat2									
HMDB0000305	Vitamin A	C20H30O	HMDBP08290	All-trans-retinol 13,14-reductase	Q6NUM9	Unknown	Retsat	*	*	Unknown	Solid	HMDB0000305_Retsat									
HMDB0000464	Calcium	Ca	HMDBP00667	Protein-glutamine gamma-glutamyltransferase 2	P21980	Unknown	Tgm2		*	Unknown	Dashed	HMDB0000464_Tgm2									
HMDB0000464	Calcium	Ca	HMDBP00805	Transketolase	P29401	Unknown	Tkt		*	Unknown	Dashed	HMDB0000464_Tkt									
HMDB0000464	Calcium	Ca	HMDBP00879	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	Unknown	Entpd5		*	Unknown	Dashed	HMDB0000464_Entpd5									
HMDB0000464	Calcium	Ca	HMDBP01995	Transient receptor potential cation channel subfamily M member 2	O94759	Unknown	Trpm2		*	Unknown	Dashed	HMDB0000464_Trpm2									
HMDB0000464	Calcium	Ca	HMDBP07719	RAS guanyl-releasing protein 1	O95267	Unknown	Rasgrp1		*	Unknown	Dashed	HMDB0000464_Rasgrp1									
HMDB0000464	Calcium	Ca	HMDBP08095	Protein unc-13 homolog B	O14795	Unknown	Unc13b		*	Unknown	Dashed	HMDB0000464_Unc13b									
HMDB0000464	Calcium	Ca	HMDBP09432	Glutamyl aminopeptidase	Q07075	Enzyme	Enpep		*	Enzyme	Dashed	HMDB0000464_Enpep									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00463	Glycine amidinotransferase, mitochondrial	P50440	Enzyme	Gatm	*	*	Enzyme	Solid	HMDB0000517_Gatm									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000517_Ass1									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00697	Argininosuccinate lyase	P04424	Enzyme	Asl	*	*	Enzyme	Solid	HMDB0000517_Asl									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00903	NAD-dependent protein deacetylase sirtuin-6	Q8N6T7	Unknown	Sirt6	*	*	Unknown	Solid	HMDB0000517_Sirt6									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00906	Ecto-ADP-ribosyltransferase 3	Q13508	Unknown	Art3	*	*	Unknown	Solid	HMDB0000517_Art3									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00908	Ecto-ADP-ribosyltransferase 5	Q96L15	Unknown	Art5	*		Unknown	Dashed	HMDB0000517_Art5									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00909	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1	P52961	Unknown	Art1	*		Unknown	Dashed	HMDB0000517_Art1									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00919	Ecto-ADP-ribosyltransferase 4	Q93070	Unknown	Art4	*	*	Unknown	Solid	HMDB0000517_Art4									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00926	Nitric oxide synthase, inducible	P35228	Unknown	Nos2	*		Unknown	Dashed	HMDB0000517_Nos2									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00928	Nitric oxide synthase, brain	P29475	Unknown	Nos1	*	*	Unknown	Solid	HMDB0000517_Nos1									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP00929	Nitric oxide synthase, endothelial	P29474	Unknown	Nos3	*	*	Unknown	Solid	HMDB0000517_Nos3									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP03090	4F2 cell-surface antigen heavy chain	P08195	Unknown	Slc3a2	*	*	Unknown	Solid	HMDB0000517_Slc3a2									
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000517_Carns1							*		*
HMDB0000517	L-Arginine	C6H14N4O2	HMDBP10462	NOS1 mutant	B3VK56	Enzyme	Nos1	*	*	Enzyme	Solid	HMDB0000517_Nos1									
HMDB0000535	Caproic acid	C6H12O2	HMDBP00307	Peroxisomal carnitine O-octanoyltransferase	Q9UKG9	Enzyme	Crot		*	Enzyme	Dashed	HMDB0000535_Crot									
HMDB0000535	Caproic acid	C6H12O2	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5		*	Unknown	Dashed	HMDB0000535_Acsm5									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00010	ATP-citrate synthase	P53396	Enzyme	Acly	*	*	Enzyme	Solid	HMDB0000538_Acly									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00037	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000538_Acss2									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00210	Glucokinase	P35557	Enzyme	Gck	*	*	Enzyme	Solid	HMDB0000538_Gck		*			*				*
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00220	Diacylglycerol kinase theta	P52824	Unknown	Dgkq	*	*	Unknown	Solid	HMDB0000538_Dgkq									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000538_Aldh7a1									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00332	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Q9Y223	Enzyme	Gne	*	*	Enzyme	Solid	HMDB0000538_Gne									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000538_Ass1									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP00777	Choline/ethanolamine kinase	Q9Y259	Enzyme	Chkb	*	*	Enzyme	Solid	HMDB0000538_Chkb									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP02597	Serine/threonine-protein kinase B-raf	P15056	Unknown	Braf	*	*	Unknown	Solid	HMDB0000538_Braf									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP03055	Bile acyl-CoA synthetase	Q9Y2P5	Enzyme	Slc27a5	*	*	Enzyme	Solid	HMDB0000538_Slc27a5									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP07406	ACSS2 protein	Q96FY7	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000538_Acss2									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08487	Serine/threonine-protein kinase MRCK gamma	Q6DT37	Unknown	Cdc42bpg	*	*	Unknown	Solid	HMDB0000538_Cdc42bpg									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5	*	*	Unknown	Solid	HMDB0000538_Acsm5									
HMDB0000538	Adenosine triphosphate	C10H16N5O13P3	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000538_Carns1							*		*
